"","Indnum","Group","Activity","Units","Consumption","Quality_of_Life_Importance__1_10","solar_powered__water_heater","gas_water_heater","electric_water_heater___peak_hou","electric_water_heater___off_peak","gas","natural_gas","hybrid","electric___peak_hours","electric___off_peak_hours","jetfuel","waste","tcf","acf"
"1",1,1,"Household heating => 70F","hours",2,88,0,0,0,0,0,0.000872,0,0.0013,0.001084,0,0,0.003256,0.00108533333333333
"2",1,1,"Household heating < 70F","hours",10,85,0,0,0,0,0,0.00872,0,0.00923,0.00901,0,0,0.02696,0.00898666666666667
"3",1,1,"Use of heat pump","hours",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,1,"Use of air conditioner","hours",20,45,0,0,0,0,0,0.01196,0,0.1596,0.01442,0,0,0.18598,0.0619933333333333
"5",1,2,"shower - short","count",5,98,6e-05,0.00051,0,0,0,0,0,0,0,0,0,0.00057,0.000285
"6",1,2,"shower - long (> 3 min)","count",30,74,0.00051,0.00447,0,0,0,0,0,0,0,0,0,0.00498,0.00249
"7",1,2,"bath","count",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,2,"wash-up","count",44,27,0.000176,0.001848,0,0,0,0,0,0,0,0,0,0.002024,0.001012
"9",1,3,"use of dishwasher","count",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,3,"use of clothes washer","count",2,28,6.6e-05,0.000398,0,0,0,0.000308,0,0.000204,0.000186,0,0,0.001162,0.0002324
"11",1,3,"use of clothes dryer","count",3,11,0,0,0,0,0,0.000561,0,0.000396,0.000366,0,0,0.001323,0.000441
"12",1,3,"use of cooking range","count",0,82,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1,3,"use of  oven","count",9,35,0,0,0,0,0,0.002295,0,0.001458,0.00135,0,0,0.005103,0.001701
"14",1,3,"use of self-clean feature of electric oven","count",3,15,0,0,0,0,0,0,0,0.000597,0.000534,0,0,0.001131,0.0005655
"15",1,3,"Small kitchen appliance in the home","count",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1,4,"TV/computer use","count",64,23,0,0,0,0,0,0,0,0.000128,0.000128,0,0,0.000256,0.000128
"17",1,5,"air travel - large plane","miles",2747,42,0,0,0,0,0,0,0,0,0,0.491713,0,0.491713,0.491713
"18",1,5,"air travel - small  plane (<50 seats)","miles",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,5,"car trips- self only","miles",443,44,0,0,0,0,0.244093,0,0,0,0,0,0,0.244093,0.244093
