"","Indnum","Group","Activity","Activity_Num","QL_cleaned","Consumption","cf_rate","carbon_footprint"
"1",1,1,"Household heating => 70F",1,88,2,0.000436,0.000872
"2",1,1,"Household heating < 70F",2,85,10,0.000872,0.00872
"3",1,1,"Use of heat pump",3,50,0,0.001074,0
"4",1,1,"Use of air conditioner",4,45,20,0.000598,0.01196
"5",1,2,"shower - short",5,98,5,5.7e-05,0.000285
"6",1,2,"shower - long (> 3 min)",6,74,30,8.3e-05,0.00249
"7",1,2,"bath",7,14,0,0.000171,0
"8",1,2,"wash-up",8,27,44,2.3e-05,0.001012
"9",1,3,"use of dishwasher",9,20,0,0.000173,0
"10",1,3,"use of clothes washer",10,28,2,0.000209,0.000418
"11",1,3,"use of clothes dryer",11,11,3,0.000122,0.000366
"12",1,3,"use of cooking range",12,39.8571428571429,0,0.000135,0
"13",1,3,"use of  oven",13,35,9,0.00015,0.00135
"14",1,3,"use of self-clean feature of electric oven",14,15,3,0.000178,0.000534
"15",1,3,"Small kitchen appliance in the home",15,39.8571428571429,0,4.75e-05,0
"16",1,4,"TV/computer use",16,23,64,2e-06,0.000128
"17",1,5,"air travel - large plane",17,42,2747,0.000179,0.491713
"18",1,5,"air travel - small  plane (<50 seats)",18,27.3877551020408,0,0.000408,0
"19",1,5,"car trips- self only",19,44,443,0.000551,0.244093
"20",1,5,"car trips - driver and self",20,27,38,0.000554,0.021052
"21",1,5,"car trips - 2+ people with multiple end points",21,39.8571428571429,10,0.000354,0.00354
"22",1,5,"trips using public ground transportation",22,49,15,0.000276,0.00414
"23",1,6,"bags of garbage disposed",23,41,26,0.0419,1.0894
"24",1,6,"bags of recycling deposited (negative CF)",24,9.13513513513514,0,-0.0419,0
"25",1,6,"bags of compost deposited (negative CF)",25,6,3,-0.0419,-0.1257
"26",1,6,"hazardous or electric items disposed",26,39.8571428571429,0,0.0211,0
"27",1,6,"large items disposed",27,15,2,0.0211,0.0422
"28",2,1,"Household heating => 70F",1,77,7,0.000436,0.003052
"29",2,1,"Household heating < 70F",2,61,2,0.000872,0.001744
