"","Indnum","Com_1","Com_2","Com_3","Com_4","Com_5","Com_6","Com_7","Com_8","Com_9","Com_10","Com_11","Com_12","Com_13","Com_14","Com_15","Com_16","Com_17","Com_18","Com_19","Com_20","Com_21","Com_22","Com_23","Com_24","Com_25","Com_26","Com_27"
"1",1,7,5,0,10,42,15,0,22,0,1,2,0,12,2,0,64,3572,0,222,19,13,20,26,0,3,0,2
"2",2,8,1,0,45,35,7,0,22,0,4,2,0,11,2,0,63,3282,0,137,10,23,16,17,0,0,0,0
"3",3,3,1,0,48,49,20,0,23,0,3,2,0,13,2,0,64,3449,0,338,18,30,17,22,0,0,0,0
"4",4,12,2,0,9,28,6,0,18,0,3,1,0,15,2,0,59,4445,0,437,14,0,16,27,0,0,0,0
"5",5,13,5,0,42,34,5,0,23,0,4,1,0,16,1,0,64,4047,0,194,8,20,25,17,0,0,0,2
"6",6,7,2,0,7,37,13,0,16,13,2,1,0,15,2,77,59,2628,0,134,11,0,19,22,0,0,0,1
"7",7,5,1,0,10,32,12,0,19,0,3,2,21,12,1,0,63,3921,0,144,20,15,16,18,0,0,0,0
"8",8,7,3,0,45,36,8,0,25,0,3,2,0,13,1,0,60,3764,0,180,19,13,19,20,0,0,0,2
"9",9,2,8,0,10,45,18,0,26,0,4,1,0,11,2,0,64,4428,0,156,12,26,25,23,0,0,0,1
"10",10,11,5,0,16,37,10,0,24,0,2,2,0,11,1,0,58,3834,0,177,10,0,19,28,0,0,0,0
"11",11,11,3,0,14,40,19,0,20,0,1,2,0,12,2,0,64,3794,0,232,8,16,16,25,0,0,0,0
"12",12,7,5,0,13,40,10,0,25,0,4,1,0,13,1,0,61,4010,0,215,10,0,16,21,0,2,0,0
"13",13,5,5,0,11,24,6,0,17,0,2,2,0,15,2,0,63,3945,0,135,10,0,19,17,0,0,0,2
"14",14,7,3,0,11,35,15,0,17,0,2,1,0,16,1,0,61,3182,0,225,20,0,21,23,0,0,0,1
"15",15,10,2,0,16,44,14,0,27,0,1,2,0,12,1,0,63,4134,0,367,6,0,20,26,0,0,0,0
"16",16,7,3,0,14,42,14,0,22,0,2,2,0,15,2,0,60,2604,0,231,7,24,20,21,0,0,0,2
"17",17,12,3,0,14,40,8,0,25,0,3,2,0,15,1,0,62,5164,0,210,10,0,16,22,0,0,3,2
